Id,Edad,Ingrediente_1,Ingrediente_2,Ingrediente_3,Sodio en mg,Gramos de aspartamo,Azucar Gramos,Gramos entre Azucar y otros endulcorantes,Densidad,pH,Litros de Cafeina,Grado de Colorante,Indice Satisfaccion
954,12.0,6.8,0.36,0.32,1.6,0.039,10.0,124.0,0.9948,0.67,0.67,9.6,0
955,28.0,5.4,0.17,0.27,2.7,0.049,28.0,104.0,0.99224,0.55,0.55,10.3,1
956,26.0,6.7,0.23,0.25,1.6,0.036,28.0,143.0,0.99256,0.54,0.54,10.3,1
957,17.0,6.6,0.63,0.0,4.3,0.093,51.0,77.5,0.99558,0.45,0.45,9.5,0
958,18.0,10.2,0.645,0.36,1.8,0.053,5.0,14.0,0.9982,0.42,0.42,10.0,1
959,30.0,8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,0.61,0.61,10.5,1
960,22.0,5.4,0.24,0.18,2.3,0.05,22.0,145.0,0.99207,0.46,0.46,10.3,0
961,26.0,5.2,0.48,0.04,1.6,0.054,19.0,106.0,0.9927,0.62,0.62,12.2,1
962,22.0,5.0,0.44,0.04,18.6,0.039,38.0,128.0,0.9985,0.57,0.57,10.2,1
963,22.0,5.9,0.23,0.24,3.8,0.038,61.0,152.0,0.99139,0.5,0.5,11.3,1
964,24.0,7.6,0.36,0.31,1.7,0.079,26.0,65.0,0.99716,0.62,0.62,9.5,1
965,17.0,7.3,0.27,0.39,6.7,0.064,28.0,188.0,0.9958,0.3,0.3,9.7,0
966,17.0,8.1,0.33,0.36,7.4,0.037,36.0,156.0,0.99592,0.54,0.54,10.6,1
967,20.0,7.9,0.24,0.4,1.6,0.056,11.0,25.0,0.9967,0.87,0.87,8.7,1
968,14.0,8.7,0.3,0.59,1.7,0.046,10.0,70.0,0.99373,0.56,0.56,10.8,0
969,26.0,6.9,0.22,0.37,15.0,0.053,59.0,178.0,0.9992,0.82,0.82,9.5,1
970,29.0,8.9,0.43,0.45,1.9,0.052,6.0,16.0,0.9948,0.7,0.7,12.5,1
971,11.0,7.5,0.42,0.19,6.9,0.041,62.0,150.0,0.99508,0.37,0.37,10.0,1
972,11.0,8.9,0.32,0.31,2.0,0.088,12.0,19.0,0.9957,0.55,0.55,10.4,1
973,15.0,6.5,0.43,0.28,11.25,0.032,31.0,87.0,0.9922,0.38,0.38,12.4,1
974,19.0,6.8,0.31,0.42,6.9,0.046,50.0,173.0,0.9958,0.46,0.46,9.0,0
975,18.0,6.8,0.705,0.25,3.2,0.048,10.0,57.0,0.996,0.52,0.52,9.5,0
976,18.0,11.6,0.58,0.66,2.2,0.074,10.0,47.0,1.0008,0.57,0.57,9.0,0
977,19.0,6.8,0.56,0.22,1.8,0.074,15.0,24.0,0.99438,0.82,0.82,11.2,1
978,14.0,9.0,0.31,0.49,6.9,0.034,26.0,91.0,0.9937,0.34,0.34,11.5,0
979,16.0,7.2,0.23,0.38,6.1,0.067,20.0,90.0,0.99496,0.79,0.79,9.7,0
980,30.0,6.5,0.4,0.31,3.5,0.046,22.0,147.0,0.99024,0.31,0.31,12.0,1
981,22.0,6.1,0.34,0.21,5.0,0.042,17.0,133.0,0.99373,0.53,0.53,9.4,0
982,25.0,8.7,0.23,0.32,13.4,0.044,35.0,169.0,0.99975,0.47,0.47,8.8,1
983,27.0,7.7,0.35,0.46,11.8,0.088,61.0,183.0,0.99786,0.47,0.47,9.0,0
984,24.0,7.6,0.21,0.49,2.5,0.047,20.0,130.0,0.99178,0.48,0.48,11.1,0
985,24.0,6.8,0.32,0.39,9.6,0.026,34.0,124.0,0.99286,0.35,0.35,12.1,1
986,25.0,9.9,0.74,0.19,5.8,0.111,33.0,76.0,0.99878,0.55,0.55,9.4,0
987,15.0,8.0,0.61,0.38,12.1,0.301,24.0,220.0,0.9993,0.48,0.48,9.2,0
988,24.0,6.6,0.24,0.22,12.3,0.051,35.0,146.0,0.99676,0.67,0.67,9.4,0
989,11.0,6.2,0.24,0.25,12.5,0.055,47.0,134.0,0.99758,0.51,0.51,9.0,0
990,19.0,8.1,0.66,0.7,2.2,0.098,25.0,129.0,0.9972,0.53,0.53,9.0,0
991,16.0,6.5,0.28,0.25,4.8,0.029,54.0,128.0,0.99074,0.44,0.44,12.2,1
992,26.0,7.1,0.27,0.27,10.4,0.041,26.0,114.0,0.99335,0.52,0.52,11.5,1
993,10.0,9.3,0.2,0.33,1.7,0.05,28.0,178.0,0.9954,0.43,0.43,9.0,0
994,20.0,6.9,0.38,0.25,9.8,0.04,28.0,191.0,0.9971,0.61,0.61,9.2,0
995,30.0,6.8,0.64,0.03,2.3,0.075,14.0,31.0,0.99545,0.58,0.58,10.4,1
996,21.0,7.1,0.38,0.29,13.6,0.041,30.0,137.0,0.99461,0.96,0.96,12.1,1
997,21.0,6.7,0.43,0.23,5.0,0.157,49.0,145.0,0.99471,0.49,0.49,9.4,0
998,24.0,6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.9934,0.35,0.35,10.0,0
999,14.0,9.1,0.52,0.33,1.3,0.07,9.0,30.0,0.9978,0.6,0.6,9.3,0
1000,29.0,6.1,0.2,0.34,9.5,0.041,38.0,201.0,0.995,0.44,0.44,10.1,0
1001,12.0,6.4,0.13,0.47,1.6,0.092,40.0,158.0,0.9928,0.36,0.36,9.8,1
1002,24.0,8.6,0.16,0.38,3.4,0.04,41.0,143.0,0.9932,0.39,0.39,10.2,1
1003,28.0,6.1,0.33,0.32,7.8,0.052,52.0,183.0,0.99657,0.65,0.65,9.5,0
1004,20.0,8.3,0.21,0.49,19.8,0.054,50.0,231.0,1.0012,0.54,0.54,9.2,0
1005,17.0,6.5,0.26,0.39,1.4,0.02,12.0,66.0,0.99089,0.75,0.75,11.3,1
1006,13.0,5.2,0.24,0.45,3.8,0.027,21.0,128.0,0.992,0.49,0.49,11.2,1
1007,24.0,5.6,0.41,0.24,1.9,0.034,10.0,53.0,0.98815,0.5,0.5,13.5,1
1008,26.0,9.2,0.23,0.3,1.1,0.031,40.0,99.0,0.9929,0.3,0.3,10.4,1
1009,17.0,7.1,0.3,0.49,1.6,0.045,31.0,100.0,0.9942,0.59,0.59,10.2,0
1010,10.0,7.2,0.33,0.34,2.0,0.044,61.0,171.0,0.98947,0.53,0.53,13.3,1
1011,14.0,7.8,0.55,0.0,1.7,0.07,7.0,17.0,0.99659,0.64,0.64,9.4,1
1012,28.0,5.8,0.6,0.0,1.3,0.044,72.0,197.0,0.99202,0.43,0.43,10.9,0
1013,17.0,7.1,0.45,0.24,2.7,0.04,24.0,87.0,0.98862,0.38,0.38,13.4,1
1014,17.0,5.8,0.19,0.25,10.8,0.042,33.0,124.0,0.99646,0.41,0.41,9.2,1
1015,17.0,10.0,0.49,0.2,11.0,0.071,13.0,50.0,1.0015,0.69,0.69,9.2,1
1016,20.0,14.2,0.27,0.49,1.1,0.037,33.0,156.0,0.992,0.54,0.54,11.1,1
1017,19.0,6.6,0.21,0.49,18.15,0.042,41.0,158.0,0.9997,0.39,0.39,8.7,1
1018,22.0,6.7,0.21,0.34,1.5,0.035,45.0,123.0,0.98949,0.36,0.36,12.6,1
1019,16.0,8.4,0.635,0.36,2.0,0.089,15.0,55.0,0.99745,0.57,0.57,10.4,0
1020,20.0,5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,0.52,0.52,10.0,0
1021,19.0,7.8,0.19,0.32,7.4,0.015,47.0,124.0,0.99278,0.39,0.39,11.0,1
1022,22.0,6.6,0.17,0.28,1.8,0.042,62.0,178.0,0.99204,0.42,0.42,10.2,0
1023,20.0,7.6,0.27,0.33,2.0,0.059,19.0,175.0,0.9944,0.56,0.56,9.9,0
1024,18.0,7.3,0.19,0.25,1.4,0.051,41.0,107.0,0.99382,0.66,0.66,10.5,1
1025,17.0,7.3,0.26,0.49,5.0,0.028,32.0,107.0,0.9936,0.54,0.54,10.8,1
1026,11.0,6.0,0.555,0.26,4.5,0.053,17.0,126.0,0.9943,0.46,0.46,9.1,0
1027,23.0,6.5,0.29,0.53,1.7,0.04,41.0,192.0,0.9922,0.59,0.59,10.4,1
1028,30.0,6.6,0.41,0.24,4.9,0.158,47.0,144.0,0.99471,0.49,0.49,9.4,0
1029,18.0,6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,0.58,0.58,9.3,0
1030,26.0,8.4,0.32,0.35,11.7,0.029,3.0,46.0,0.99439,0.34,0.34,11.8,1
1031,29.0,8.5,0.16,0.35,1.6,0.039,24.0,147.0,0.9935,0.36,0.36,10.0,0
1032,23.0,6.8,0.27,0.3,13.0,0.047,69.0,160.0,0.99705,0.5,0.5,9.6,1
1033,11.0,9.2,0.14,0.37,1.1,0.034,36.0,84.0,0.99136,0.55,0.55,11.6,1
1034,23.0,6.4,0.17,0.27,9.9,0.047,26.0,101.0,0.99596,0.5,0.5,9.9,1
1035,10.0,7.4,0.16,0.3,13.7,0.056,33.0,168.0,0.99825,0.44,0.44,8.7,1
1036,17.0,7.0,0.36,0.21,2.3,0.086,20.0,65.0,0.99558,0.54,0.54,10.1,1
1037,12.0,7.6,0.21,0.44,1.9,0.036,10.0,119.0,0.9913,0.7,0.7,12.8,1
1038,21.0,8.9,0.75,0.14,2.5,0.086,9.0,30.0,0.99824,0.64,0.64,10.5,0
1039,22.0,5.1,0.47,0.02,1.3,0.034,18.0,44.0,0.9921,0.62,0.62,12.8,1
1040,20.0,7.0,0.22,0.24,11.0,0.041,75.0,167.0,0.99508,0.56,0.56,10.5,1
1041,19.0,5.5,0.23,0.19,2.2,0.044,39.0,161.0,0.99209,0.43,0.43,10.4,1
1042,30.0,7.6,0.38,0.2,3.4,0.046,9.0,116.0,0.9944,0.41,0.41,9.4,0
1043,15.0,5.6,0.22,0.32,1.2,0.024,29.0,97.0,0.98823,0.46,0.46,13.05,1
1044,15.0,6.7,0.29,0.45,14.3,0.054,30.0,181.0,0.99869,0.57,0.57,9.1,0
1045,28.0,7.0,0.4,0.32,3.6,0.061,9.0,29.0,0.99416,0.49,0.49,11.3,1
1046,19.0,8.9,0.875,0.13,3.45,0.088,4.0,14.0,0.9994,0.52,0.52,11.5,0
1047,23.0,8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,0.49,0.49,10.9,0
1048,23.0,6.5,0.18,0.33,1.4,0.029,35.0,138.0,0.99114,0.6,0.6,11.5,1
1049,23.0,9.8,0.93,0.45,8.6,0.052,34.0,187.0,0.9994,0.59,0.59,10.2,0
1050,19.0,7.4,0.3,0.49,8.2,0.055,49.0,188.0,0.9974,0.58,0.58,9.7,1
1051,11.0,8.3,0.31,0.39,2.4,0.078,17.0,43.0,0.99444,0.77,0.77,12.5,1
1052,28.0,8.5,0.19,0.48,1.1,0.026,23.0,58.0,0.99184,0.5,0.5,10.5,1
1053,17.0,8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,0.8,0.8,9.4,1
1054,21.0,6.4,0.27,0.17,8.4,0.044,60.0,198.0,0.99578,0.47,0.47,9.4,0
1055,18.0,6.9,0.32,0.27,16.0,0.034,58.0,185.0,0.99938,0.6,0.6,9.0,1
1056,20.0,7.5,0.32,0.49,1.7,0.031,44.0,109.0,0.9906,0.46,0.46,12.5,1
1057,26.0,8.1,0.34,0.28,7.5,0.04,70.0,230.0,0.99558,0.55,0.55,9.8,1
1058,26.0,7.9,0.18,0.33,1.2,0.033,20.0,72.0,0.9922,0.38,0.38,10.5,1
1059,19.0,7.1,0.17,0.4,14.55,0.047,47.0,156.0,0.99945,0.78,0.78,9.1,1
1060,13.0,10.4,0.64,0.24,2.8,0.105,29.0,53.0,0.9998,0.67,0.67,9.9,0
1061,14.0,6.5,0.3,0.27,4.0,0.038,37.0,97.0,0.99026,0.6,0.6,12.6,1
1062,24.0,8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,1.09,1.09,9.3,0
1063,27.0,6.0,0.31,0.27,2.3,0.042,19.0,120.0,0.98952,0.41,0.41,12.7,1
1064,13.0,6.9,0.48,0.2,1.9,0.082,9.0,23.0,0.99585,0.43,0.43,9.05,0
1065,10.0,7.4,0.27,0.49,1.1,0.037,33.0,156.0,0.992,0.54,0.54,11.1,1
1066,20.0,6.9,0.41,0.33,2.2,0.081,22.0,36.0,0.9949,0.75,0.75,11.1,1
1067,11.0,11.2,0.66,0.24,2.5,0.085,16.0,53.0,0.9993,0.72,0.72,11.0,1
1068,24.0,7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,0.67,0.67,9.4,0
1069,21.0,7.9,0.28,0.49,7.7,0.045,48.0,195.0,0.9954,0.55,0.55,11.0,1
1070,16.0,7.5,0.17,0.34,1.4,0.035,13.0,102.0,0.9918,0.74,0.74,11.0,0
1071,23.0,7.8,0.32,0.44,2.7,0.104,8.0,17.0,0.99732,0.78,0.78,11.0,1
1072,28.0,6.6,0.295,0.24,1.6,0.039,29.0,140.0,0.99304,0.61,0.61,10.4,1
1073,11.0,7.2,0.15,0.33,1.1,0.027,16.0,63.0,0.9937,0.4,0.4,9.9,0
1074,14.0,11.9,0.39,0.69,2.8,0.095,17.0,35.0,0.9994,0.61,0.61,10.8,1
1075,18.0,7.8,0.7,0.06,1.9,0.079,20.0,35.0,0.99628,0.69,0.69,10.9,0
1076,19.0,7.0,0.29,0.49,3.8,0.047,37.0,136.0,0.9938,0.4,0.4,9.4,1
1077,17.0,7.7,0.26,0.34,6.4,0.05,36.0,163.0,0.9937,0.7,0.7,11.5,1
1078,24.0,6.8,0.16,0.29,10.4,0.046,59.0,143.0,0.99518,0.4,0.4,10.8,1
1079,30.0,6.4,0.105,0.29,1.1,0.035,44.0,140.0,0.99142,0.55,0.55,10.7,1
1080,25.0,7.5,0.32,0.26,1.8,0.042,13.0,133.0,0.9938,0.38,0.38,9.5,0
1081,29.0,7.0,0.22,0.26,1.1,0.037,20.0,71.0,0.9902,0.38,0.38,11.7,1
1082,19.0,6.2,0.3,0.17,2.8,0.04,24.0,125.0,0.9939,0.46,0.46,9.0,0
1083,18.0,8.8,0.27,0.39,2.0,0.1,20.0,27.0,0.99546,0.69,0.69,11.2,1
1084,22.0,6.6,0.19,0.41,8.9,0.046,51.0,169.0,0.9954,0.57,0.57,9.8,1
1085,23.0,9.2,0.92,0.24,2.6,0.087,12.0,93.0,0.9998,0.54,0.54,9.8,0
1086,13.0,6.5,0.44,0.49,7.7,0.045,16.0,169.0,0.9957,0.37,0.37,8.7,1
1087,27.0,6.7,0.46,0.24,1.7,0.077,18.0,34.0,0.9948,0.6,0.6,10.6,1
1088,22.0,6.4,0.26,0.43,12.6,0.033,64.0,230.0,0.9974,0.38,0.38,8.9,0
1089,22.0,8.0,0.19,0.36,1.8,0.05,16.0,84.0,0.9936,0.45,0.45,9.8,1
1090,24.0,7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,0.8,0.8,9.3,0
1091,27.0,7.4,0.33,0.26,15.6,0.049,67.0,210.0,0.99907,0.68,0.68,9.5,0
1092,23.0,6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,0.52,0.52,12.4,1
1093,24.0,8.8,0.61,0.19,4.0,0.094,30.0,69.0,0.99787,0.5,0.5,10.0,1
1094,12.0,8.7,0.765,0.22,2.3,0.064,9.0,42.0,0.9963,0.55,0.55,9.4,0
1095,15.0,6.8,0.3,0.33,12.8,0.041,60.0,168.0,0.99659,0.56,0.56,9.8,0
1096,11.0,8.0,0.2,0.4,5.2,0.055,41.0,167.0,0.9953,0.4,0.4,10.6,1
1097,13.0,6.4,0.33,0.24,9.8,0.041,29.0,109.0,0.9956,0.47,0.47,10.1,1
1098,21.0,6.4,0.27,0.49,7.3,0.046,53.0,206.0,0.9956,0.43,0.43,9.2,1
1099,12.0,7.2,0.39,0.54,1.4,0.157,34.0,132.0,0.99449,0.53,0.53,9.0,1
1100,19.0,8.4,0.62,0.12,1.8,0.072,38.0,46.0,0.99504,0.89,0.89,11.8,1
1101,21.0,6.4,0.22,0.32,7.9,0.029,34.0,124.0,0.9948,0.39,0.39,10.2,0
1102,24.0,6.3,0.18,0.36,1.2,0.034,26.0,111.0,0.99074,0.51,0.51,11.0,1
1103,22.0,6.0,0.2,0.33,1.1,0.039,45.0,126.0,0.99051,0.45,0.45,11.6,1
1104,28.0,10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.9994,0.63,0.63,8.4,0
1105,19.0,7.9,0.49,0.32,1.9,0.082,17.0,144.0,0.9968,0.55,0.55,9.5,0
1106,19.0,5.7,0.22,0.29,3.5,0.04,27.0,146.0,0.98999,0.36,0.36,12.1,1
1107,29.0,11.4,0.36,0.69,2.1,0.09,6.0,21.0,1.0,0.62,0.62,9.2,1
1108,16.0,7.6,0.28,0.49,20.15,0.06,30.0,145.0,1.00196,0.44,0.44,8.5,0
1109,16.0,6.0,0.31,0.32,7.4,0.175,47.0,159.0,0.9952,0.5,0.5,9.4,1
1110,25.0,7.4,0.21,0.3,7.9,0.039,14.0,118.0,0.9942,0.34,0.34,10.4,0
1111,26.0,6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,0.48,0.48,10.5,1
1112,17.0,6.3,0.29,0.23,14.2,0.037,24.0,99.0,0.99528,0.38,0.38,10.6,1
1113,17.0,6.0,0.25,0.28,7.7,0.053,37.0,132.0,0.99489,0.5,0.5,9.4,1
1114,10.0,7.2,0.4,0.24,8.5,0.055,45.0,151.0,0.99626,0.52,0.52,9.2,0
1115,23.0,9.7,0.69,0.32,2.5,0.088,22.0,91.0,0.9979,0.62,0.62,10.1,0
1116,11.0,6.7,0.26,0.39,1.1,0.04,45.0,147.0,0.9935,0.58,0.58,9.6,1
1117,25.0,6.9,0.21,0.62,6.3,0.042,7.0,109.0,0.99358,0.59,0.59,10.2,1
1118,13.0,6.6,0.19,0.28,11.8,0.042,54.0,137.0,0.99492,0.37,0.37,10.8,1
1119,21.0,7.1,0.23,0.23,3.5,0.038,23.0,112.0,0.99157,0.37,0.37,11.3666666666667,1
1120,10.0,6.9,0.52,0.54,7.9,0.036,23.0,169.0,0.99267,0.47,0.47,12.2,1
1121,19.0,6.4,0.53,0.09,3.9,0.123,14.0,31.0,0.9968,0.67,0.67,11.0,0
1122,17.0,7.0,0.26,0.46,15.55,0.037,61.0,171.0,0.9986,0.35,0.35,8.8,1
1123,27.0,6.2,0.27,0.32,8.8,0.047,65.0,224.0,0.9961,0.47,0.47,8.9,0
1124,16.0,10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,0.75,0.75,9.8,1
1125,12.0,5.6,0.28,0.4,6.1,0.034,36.0,118.0,0.99144,0.43,0.43,12.1,1
1126,15.0,6.4,0.79,0.04,2.2,0.061,11.0,17.0,0.99588,0.65,0.65,10.4,1
1127,10.0,7.1,0.29,0.34,7.8,0.036,49.0,128.0,0.99397,0.4,0.4,10.7,1
1128,13.0,7.1,0.25,0.25,1.6,0.046,50.0,181.0,0.9925,0.42,0.42,11.0,1
1129,10.0,5.7,0.6,0.0,1.4,0.063,11.0,18.0,0.99191,0.56,0.56,12.2,1
1130,17.0,6.5,0.36,0.32,1.1,0.031,13.0,66.0,0.9916,0.46,0.46,10.6,0
1131,16.0,6.4,0.22,0.38,9.1,0.044,35.0,127.0,0.99326,0.3,0.3,11.0,1
1132,18.0,6.5,0.4,0.1,2.0,0.076,30.0,47.0,0.99554,0.48,0.48,9.4,1
1133,28.0,8.6,0.33,0.4,2.6,0.083,16.0,68.0,0.99782,0.48,0.48,9.4,0
1134,11.0,6.9,0.19,0.35,1.7,0.036,33.0,101.0,0.99315,0.54,0.54,10.8,1
1135,21.0,6.6,0.35,0.19,10.5,0.06,15.0,82.0,0.99588,0.38,0.38,9.9,0
1136,13.0,8.7,0.34,0.46,13.8,0.055,68.0,198.0,0.9988,0.37,0.37,9.5,1
1137,29.0,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,0.8,0.8,10.5,0
1138,11.0,6.2,0.57,0.1,2.1,0.048,4.0,11.0,0.99448,0.76,0.76,10.8,1
1139,16.0,6.6,0.37,0.07,1.4,0.048,58.0,144.0,0.9922,0.38,0.38,10.0,0
1140,27.0,6.7,0.42,0.27,8.6,0.068,24.0,148.0,0.9948,0.57,0.57,11.3,1
1141,11.0,7.5,0.21,0.34,1.2,0.06,26.0,111.0,0.9931,0.47,0.47,10.7,1
1142,17.0,7.4,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,0.49,0.49,9.1,1
1143,24.0,7.2,0.2,0.38,1.0,0.037,21.0,74.0,0.9918,0.37,0.37,11.0,0
1144,10.0,7.5,0.26,0.25,1.7,0.038,29.0,129.0,0.99312,0.56,0.56,10.4,1
1145,15.0,8.3,0.16,0.48,1.7,0.057,31.0,98.0,0.9943,0.41,0.41,10.3,1
1146,22.0,7.1,0.18,0.26,1.3,0.041,20.0,71.0,0.9926,0.74,0.74,9.9,1
1147,18.0,7.0,0.32,0.35,1.5,0.039,24.0,125.0,0.9918,0.64,0.64,12.2,1
1148,27.0,9.4,0.5,0.34,3.6,0.082,5.0,14.0,0.9987,0.52,0.52,10.7,1
1149,11.0,6.0,0.13,0.28,5.7,0.038,56.0,189.5,0.9948,0.43,0.43,10.6,1
1150,22.0,7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,0.44,0.44,8.7,0
1151,25.0,6.6,0.5,0.26,11.3,0.029,32.0,110.0,0.99302,0.78,0.78,12.9,1
1152,22.0,6.8,0.27,0.42,7.3,0.054,58.0,200.0,0.99556,0.49,0.49,9.4,1
1153,29.0,8.6,0.47,0.47,2.4,0.074,7.0,29.0,0.9979,0.46,0.46,9.5,0
1154,11.0,6.6,0.33,0.31,1.3,0.02,29.0,89.0,0.99035,0.44,0.44,12.4,1
1155,17.0,6.9,0.63,0.02,1.9,0.078,18.0,30.0,0.99712,0.75,0.75,9.8,0
1156,25.0,6.8,0.31,0.32,7.6,0.052,35.0,143.0,0.9959,0.38,0.38,9.0,0
1157,26.0,6.8,0.32,0.21,2.2,0.044,15.0,68.0,0.9932,0.39,0.39,9.4,1
1158,30.0,7.0,0.31,0.52,1.7,0.029,5.0,61.0,0.9918,0.43,0.43,10.4,0
1159,20.0,6.0,0.26,0.42,5.2,0.027,70.0,178.0,0.9914,0.4,0.4,12.3,1
1160,21.0,6.9,0.24,0.4,15.4,0.052,81.0,198.0,0.9986,0.69,0.69,9.4,0
1161,10.0,7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,0.65,0.65,12.0,1
1162,20.0,6.8,0.22,0.37,1.7,0.036,38.0,195.0,0.9908,0.72,0.72,12.5,1
1163,13.0,5.3,0.31,0.38,10.5,0.031,53.0,140.0,0.99321,0.46,0.46,11.7,1
1164,29.0,9.3,0.715,0.24,2.1,0.07,5.0,20.0,0.9966,0.59,0.59,9.9,0
1165,27.0,6.3,0.41,0.22,7.3,0.035,23.0,117.0,0.99172,0.39,0.39,11.94,1
1166,26.0,5.7,0.15,0.47,11.4,0.035,49.0,128.0,0.99456,0.34,0.34,10.5,1
1167,24.0,6.3,0.1,0.24,6.0,0.039,25.0,107.0,0.99511,0.49,0.49,10.5,1
1168,24.0,7.8,0.58,0.13,2.1,0.102,17.0,36.0,0.9944,0.53,0.53,11.2,1
1169,16.0,5.2,0.155,0.33,1.6,0.028,13.0,59.0,0.98975,0.84,0.84,11.9,1
1170,16.0,6.2,0.43,0.22,1.8,0.078,21.0,56.0,0.99633,0.6,0.6,9.5,1
1171,12.0,6.8,0.66,0.07,1.6,0.07,16.0,61.0,0.99572,0.6,0.6,9.3,0
1172,14.0,7.6,0.27,0.29,2.5,0.059,37.0,115.0,0.99328,0.37,0.37,9.8,0
1173,17.0,7.4,0.35,0.2,13.9,0.054,63.0,229.0,0.99888,0.5,0.5,8.9,1
1174,19.0,7.0,0.23,0.42,18.05,0.05,35.0,144.0,0.9999,0.42,0.42,8.8,0
1175,28.0,7.4,0.26,0.31,7.6,0.047,52.0,177.0,0.9962,0.45,0.45,8.9,1
1176,14.0,7.0,0.22,0.26,9.2,0.027,37.0,122.0,0.99228,0.34,0.34,12.5,1
1177,18.0,7.0,0.745,0.12,1.8,0.114,15.0,64.0,0.99588,0.59,0.59,9.5,1
1178,28.0,6.0,0.28,0.27,15.5,0.036,31.0,134.0,0.99408,0.44,0.44,13.0,1
1179,11.0,7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,0.44,0.44,8.7,1
1180,27.0,6.7,0.42,0.39,12.1,0.04,61.0,248.0,0.99794,0.58,0.58,9.7,0
1181,21.0,6.8,0.24,0.34,5.1,0.038,31.0,99.0,0.9921,0.46,0.46,11.8,1
1182,30.0,4.5,0.19,0.21,0.95,0.033,89.0,159.0,0.99332,0.42,0.42,8.0,0
1183,15.0,8.0,0.58,0.16,2.0,0.12,3.0,7.0,0.99454,0.58,0.58,11.2,1
1184,11.0,6.8,0.18,0.21,5.4,0.053,34.0,104.0,0.99445,0.43,0.43,9.4,0
1185,15.0,12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,0.73,0.73,10.0,1
1186,22.0,6.1,0.27,0.31,1.5,0.035,17.0,83.0,0.99076,0.44,0.44,11.1,1
1187,21.0,6.9,0.25,0.35,9.2,0.034,42.0,150.0,0.9947,0.36,0.36,11.5,1
1188,10.0,7.6,0.18,0.36,2.4,0.049,38.0,123.0,0.996,0.46,0.46,10.3,0
1189,16.0,6.7,0.3,0.44,18.5,0.057,65.0,224.0,0.99956,0.53,0.53,9.1,0
1190,23.0,6.7,0.28,0.31,7.4,0.041,7.0,81.0,0.99254,0.47,0.47,11.4,1
1191,21.0,7.0,0.36,0.32,10.05,0.045,37.0,131.0,0.99352,0.33,0.33,11.7,1
1192,12.0,9.0,0.53,0.49,1.9,0.171,6.0,25.0,0.9975,0.61,0.61,9.4,1
1193,28.0,6.6,0.22,0.58,1.1,0.133,52.0,136.0,0.9932,0.3,0.3,9.1,0
1194,27.0,5.9,0.23,0.3,12.9,0.054,57.0,170.0,0.9972,0.39,0.39,9.4,0
1195,19.0,7.0,0.58,0.28,4.8,0.085,12.0,69.0,0.99633,0.7,0.7,11.0,1
1196,16.0,6.0,0.16,0.36,1.6,0.042,13.0,61.0,0.99143,0.54,0.54,10.8,1
1197,18.0,13.3,0.43,0.58,1.9,0.07,15.0,40.0,1.0004,0.49,0.49,9.0,0
1198,14.0,6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,0.51,0.51,9.1,0
1199,18.0,9.8,0.16,0.46,1.8,0.046,23.0,130.0,0.99587,0.67,0.67,9.6,0
1200,18.0,6.1,0.17,0.28,2.5,0.028,22.0,98.0,0.99072,0.37,0.37,11.1,1
1201,14.0,7.6,0.645,0.03,1.9,0.086,14.0,57.0,0.9969,0.46,0.46,10.3,0
1202,10.0,8.9,0.24,0.39,1.6,0.074,3.0,10.0,0.99698,0.59,0.59,9.5,1
1203,28.0,7.6,0.19,0.38,10.6,0.06,48.0,174.0,0.9962,0.38,0.38,10.5,1
1204,30.0,6.5,0.29,0.25,2.5,0.142,8.0,111.0,0.9927,0.44,0.44,9.9,0
1205,11.0,5.7,0.16,0.26,6.3,0.043,28.0,113.0,0.9936,0.58,0.58,9.9,1
1206,11.0,8.1,0.27,0.33,1.3,0.045,26.0,100.0,0.99066,0.44,0.44,12.4,1
1207,26.0,8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,0.48,0.48,10.9,0
1208,24.0,6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,0.54,0.54,9.7,1
1209,10.0,6.8,0.35,0.53,10.1,0.053,37.0,151.0,0.9963,0.4,0.4,9.4,0
1210,29.0,9.9,0.27,0.49,5.0,0.082,9.0,17.0,0.99484,0.52,0.52,12.5,1
